电视频道,#genre#
CCTV5+,http://172.16.149.176:9090/live/1403_7500.m3u8?=channel=1&playseek20260101000000-20260107000000
澳视澳门,http://172.16.149.178:9090/live/1321_1500.m3u8
星空卫视,http://172.16.149.178:9090/live/1307_1500.m3u8
CETV4,http://172.16.149.178:9090/live/1279_1500.m3u8
翡翠台,http://172.16.149.176:9090/live/1350_7500.m3u8?&start=${start}&end=${timestamp} 
明珠台,http://172.16.149.176:9090/live/1351_7500.m3u8
凤凰卫视,http://172.16.149.176:9090/live/1353_7500.m3u8
广东卫视,http://172.16.149.176:9090/live/1401_7500.m3u8
CCTV1,http://172.16.149.176:9090/live/1402_7500.m3u8
CCTV5+,http://172.16.149.176:9090/live/1403_7500.m3u8
深圳卫视,http://172.16.149.176:9090/live/1405_7500.m3u8
东方卫视,http://172.16.149.176:9090/live/1406_7500.m3u8
北京卫视,http://172.16.149.176:9090/live/1407_7500.m3u8
湖南卫视,http://172.16.149.176:9090/live/1408_7500.m3u8
浙江卫视,http://172.16.149.176:9090/live/1409_7500.m3u8
江苏卫视,http://172.16.149.176:9090/live/1410_7500.m3u8
黑龙江卫视,http://172.16.149.176:9090/live/1411_7500.m3u8
新视觉HD,http://172.16.149.176:9090/live/1412_7500.m3u8
广东体育,http://172.16.149.176:9090/live/1413_7500.m3u8
辽宁卫视,http://172.16.149.176:9090/live/1414_7500.m3u8
天津卫视,http://172.16.149.176:9090/live/1415_7500.m3u8
山东卫视,http://172.16.149.176:9090/live/1416_7500.m3u8
湖北卫视,http://172.16.149.176:9090/live/1417_7500.m3u8
安徽卫视,http://172.16.149.176:9090/live/1418_7500.m3u8
CHC影迷电影,http://172.16.149.176:9090/live/1419_7500.m3u8
广东经济科教,http://172.16.149.176:9090/live/1422_7500.m3u8
贵州卫视,http://172.16.149.176:9090/live/1423_7500.m3u8
四川卫视,http://172.16.149.176:9090/live/1424_7500.m3u8
重庆卫视,http://172.16.149.176:9090/live/1425_7500.m3u8
河北卫视,http://172.16.149.176:9090/live/1426_7500.m3u8
东南卫视,http://172.16.149.176:9090/live/1427_7500.m3u8
江西卫视,http://172.16.149.176:9090/live/1428_7500.m3u8
CETV1,http://172.16.149.176:9090/live/1429_7500.m3u8
河南卫视,http://172.16.149.176:9090/live/1430_7500.m3u8
广州综合,http://172.16.149.176:9090/live/1432_7500.m3u8
广州新闻,http://172.16.149.176:9090/live/1433_7500.m3u8
广东珠江,http://172.16.149.191:9090/live/1437_7500.m3u8
吉林卫视,http://172.16.149.176:9090/live/1438_7500.m3u8
G导视,http://172.16.149.176:9090/live/1439_7500.m3u8
广西卫视,http://172.16.149.176:9090/live/1444_7500.m3u8
北京纪实科教,http://172.16.149.176:9090/live/1445_7500.m3u8
海南卫视,http://172.16.149.176:9090/live/1451_7500.m3u8
陕西卫视,http://172.16.149.176:9090/live/1452_7500.m3u8
三沙卫视,http://172.16.149.176:9090/live/1453_7500.m3u8
广东新闻,http://172.16.149.176:9090/live/1454_7500.m3u8
广东民生,http://172.16.149.190:9090/live/1455_7500.m3u8
大湾区卫视,http://172.16.149.176:9090/live/1456_7500.m3u8
广东少儿,http://172.16.149.176:9090/live/1457_7500.m3u8
广东影视,http://172.16.149.176:9090/live/1458_7500.m3u8
嘉佳卡通,http://172.16.149.176:9090/live/1459_7500.m3u8
岭南戏曲,http://172.16.149.176:9090/live/1460_7500.m3u8
甘肃卫视,http://172.16.149.176:9090/live/1462_7500.m3u8
重温经典,http://172.16.149.176:9090/live/1463_7500.m3u8
卡酷少儿,http://172.16.149.176:9090/live/1464_7500.m3u8
新疆卫视,http://172.16.149.176:9090/live/1465_7500.m3u8
西藏卫视,http://172.16.149.176:9090/live/1466_7500.m3u8
宁夏卫视,http://172.16.149.176:9090/live/1467_7500.m3u8
兵团卫视,http://172.16.149.176:9090/live/1468_7500.m3u8
内蒙古卫视,http://172.16.149.176:9090/live/1469_7500.m3u8
青海卫视,http://172.16.149.176:9090/live/1470_7500.m3u8
山西卫视,http://172.16.149.176:9090/live/1471_7500.m3u8
云南卫视,http://172.16.149.176:9090/live/1472_7500.m3u8
劲爆体育,http://172.16.149.176:9090/live/1505_7500.m3u8
乐游,http://172.16.149.176:9090/live/1507_7500.m3u8
求索记录,http://172.16.149.176:9090/live/1514_7500.m3u8
CHC动作电影,http://172.16.149.176:9090/live/1523_7500.m3u8
CHC家庭影院,http://172.16.149.176:9090/live/1524_7500.m3u8
CCTV2,http://172.16.149.176:9090/live/1602_7500.m3u8
CCTV3,http://172.16.149.176:9090/live/1603_7500.m3u8
CCTV4,http://172.16.149.176:9090/live/1604_7500.m3u8
CCTV5,http://172.16.149.176:9090/live/1605_7500.m3u8
CCTV6,http://172.16.149.176:9090/live/1606_7500.m3u8
CCTV7,http://172.16.149.176:9090/live/1607_7500.m3u8
CCTV8,http://172.16.149.176:9090/live/1608_7500.m3u8
CCTV9,http://172.16.149.176:9090/live/1609_7500.m3u8
CCTV10,http://172.16.149.176:9090/live/1610_7500.m3u8
CCTV11,http://172.16.149.176:9090/live/1611_7500.m3u8
CCTV12,http://172.16.149.176:9090/live/1612_7500.m3u8
CCTV13,http://172.16.149.176:9090/live/1613_7500.m3u8
CCTV14,http://172.16.149.176:9090/live/1614_7500.m3u8
CCTV15,http://172.16.149.176:9090/live/1615_7500.m3u8
CCTV16,http://172.16.149.176:9090/live/1617_7500.m3u8
CCTV17,http://172.16.149.176:9090/live/1616_7500.m3u8
澳视澳门,http://172.16.149.178:9090/live/1321_1500.m3u8
星空卫视,http://172.16.149.178:9090/live/1307_1500.m3u8
CETV4,http://172.16.149.178:9090/live/1279_1500.m3u8?t=
CCTV1,http://172.16.149.176:9090/live/1402_7500.m3u8?t=+F8AnoOZb920lWrgHHfacA==&u=17819838781&p=1&pid=&cid=300&l=4400&d=nnq07d6aqitk3s3t&sid=taBH%2BM0PQoCaqlbgt9Pe9Q%3D%3D&r=20260113213851&e=20260114013856&nc=FZtFzbHK3sEG&a=23&v=2&ptype=1&plocation=4400&puser=17819838781&ptoken=+F8AnoOZb920lWrgHHfacA==&ot=0&innersid=2878511523970557938&vhost=172.16.149.192:8060
