央视,#genre#
CCTV1,http://39.134.66.66/PLTV/88888888/224/3221225816/index.m3u8
CCTV2,http://39.134.66.66/PLTV/88888888/224/3221225820/index.m3u8
CCTV3,http://39.134.66.66/PLTV/88888888/224/3221225799/index.m3u8
CCTV4,http://39.134.66.66/PLTV/88888888/224/3221225797/index.m3u8
CCTV5,http://39.134.66.66/PLTV/88888888/224/3221225818/index.m3u8
CCTV5,http://113.101.119.52:808/hls/58/index.m3u8
CCTV5,http://39.134.67.108/PLTV/88888888/224/3221226027/index.m3u8
CCTV6,http://39.134.66.66/PLTV/88888888/224/3221225814/index.m3u8
CCTV7,http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8
CCTV8,http://39.134.66.66/PLTV/88888888/224/3221225795/index.m3u8
CCTV9,http://39.134.66.66/PLTV/88888888/224/3221225676/index.m3u8
CCTV10,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV11,http://39.134.66.66/PLTV/88888888/224/3221225517/index.m3u8
CCTV12,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
CCTV13,http://39.134.66.66/PLTV/88888888/224/3221225812/index.m3u8
CCTV13,https://pi.0472.org/tv/fct.php?auth=2310201855
CCTV14,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV15,http://39.134.66.66/PLTV/88888888/224/3221225513/index.m3u8
CCTV5+,http://39.134.66.66/PLTV/88888888/224/3221225590/index.m3u8
CCTV-17,http://39.134.66.66/PLTV/88888888/224/3221225708/index.m3u8
港澳台,#genre#
翡翠台,http://172.16.149.176:9090/live/1350_4500.m3u8?t=A5ZjU2OThiNjAxMzExMTBkN==&u=freeuser&p=1&pid=&cid=1332&d=b60131110d72d53&sid=qM76HwHmvzjbzuVH+7a9UQ==&r=20230204125046&e=20230204185051&nc=OOlclCvR2tFj&a=7&v=2&isSuma=1&hlsSessionID=7824443072380439746&srchost=172.16.149.181:8060
翡翠台,http://www.namewee.xyz/gudou.php?id=364&id=1350_4500
翡翠台,http://198.16.100.90:8278/jade_twn/playlist.m3u8?tid=ME6E1330319113303191&ct=19225&tsum=d76985c4965fd63807e131035f66af09
港台32,http://198.16.100.90:8278/rhk32_twn/playlist.m3u8?tid=MBCB4455322944553229&ct=19226&tsum=60bac13753ada5abc8873783d6611ebd
J2,http://198.16.100.90:8278/j2_twn/playlist.m3u8?tid=m22905da1d346&ct=18336&tsum=3b4998c4f5367bb820165f66b0caab0e
ELTA影剧,http://198.16.100.90:8278/eltadrama_twn/playlist.m3u8?tid=MFDF4206608342066083&ct=19225&tsum=c6e03c86e60731f01aef66e1b32dcc84
纬来体育,https://cloud.yumixiu768.com/tmp/123.m3u8
东森综合,http://198.16.100.90:8278/ettvzhonghe/playlist.m3u8?tid=m65c4e525f24617101171&ct=17874&tsum=663db593cfeefc92ce4b5d7461988f3f
viutv,http://198.16.100.90:8278/viu1_twn/playlist.m3u8?tid=MF9F2344917423449174&ct=19254&tsum=3cb061ac749a32280d3b88c022a1403f
体育,#genre#
咪咕体育1台,http://39.134.67.108/PLTV/88888888/224/3221225897/index.m3u8
咪咕体育2台（足球）,http://39.134.67.108/PLTV/88888888/224/3221225895/index.m3u8
北京冬奥纪实HD,http://39.134.66.66/PLTV/88888888/224/3221225670/index.m3u8
卫视,#genre#
东方卫视,http://39.134.66.66/PLTV/88888888/224/3221225672/index.m3u8
